date,rawContent,processed_content,tokenized_content
2023-03-06 13:43:29+00:00,de la 1 a la 6 y punto,de la 1 la 6 punto,"['de', 'la', '1', 'la', '6', 'punto']"
2023-03-06 13:30:17+00:00,4 lah gilaaa,4 lah gilaaa,"['4', 'lah', 'gilaaa']"
2023-03-06 13:07:01+00:00,1 4 &amp; 6,1 4 amp 6,"['1', '4', 'amp', '6']"
2023-03-06 13:04:04+00:00,"S1-4 e o final da S6 mas não vale a pena se torturar vendo a S5 e como a série começa a errar tanto com corte de personagens, plots e tudo pelo shock value",s14 e final da s6 ma não vale pena se torturar vendo s5 e como série começa errar tanto com cort de personagen plot e tudo pelo shock valu,"['s14', 'e', 'final', 'da', 's6', 'ma', 'não', 'vale', 'pena', 'se', 'torturar', 'vendo', 's5', 'e', 'como', 'série', 'começa', 'errar', 'tanto', 'com', 'cort', 'de', 'personagen', 'plot', 'e', 'tudo', 'pelo', 'shock', 'valu']"
2023-03-06 13:03:14+00:00,السابع عدتو وحفظتو أكتر من منهاج البكالوريا,السابع عدتو وحفظتو أكتر من منهاج البكالوريا,"['السابع', 'عدتو', 'وحفظتو', 'أكتر', 'من', 'منهاج', 'البكالوريا']"
2023-03-06 13:00:11+00:00,"no sé si sería capaz de rever ninguna temporada de juego de tronos para ser honesta, leer los libros sí, volver a verla lo dudo",sé si sería capaz de rever ninguna temporada de juego de trono para ser honesta leer lo libro sí volver verla lo dudo,"['sé', 'si', 'sería', 'capaz', 'de', 'rever', 'ninguna', 'temporada', 'de', 'juego', 'de', 'trono', 'para', 'ser', 'honesta', 'leer', 'lo', 'libro', 'sí', 'volver', 'verla', 'lo', 'dudo']"
2023-03-06 12:41:47+00:00,todas menos la 8,toda meno la 8,"['toda', 'meno', 'la', '8']"
2023-03-06 12:37:56+00:00,1 блядь,1 блядь,"['1', 'блядь']"
2023-03-06 12:25:23+00:00,3-4 🔥🔥 daha 7deyiz bakalım bugün ejderhalardan birini kaybettik kalbim acıdı resmen,34 daha 7deyiz bakalım bugün ejderhalardan birini kaybettik kalbim acıdı resmen,"['34', 'daha', '7deyiz', 'bakalım', 'bugün', 'ejderhalardan', 'birini', 'kaybettik', 'kalbim', 'acıdı', 'resmen']"
2023-03-06 12:18:13+00:00,Season 4 was by far the best and the peak of the story,season 4 far best peak stori,"['season', '4', 'far', 'best', 'peak', 'stori']"
2023-03-06 12:15:05+00:00,todas. se é para doer que se sofra no total,toda se é para doer que se sofra total,"['toda', 'se', 'é', 'para', 'doer', 'que', 'se', 'sofra', 'total']"
2023-03-06 12:12:57+00:00,One and like only one.,one like one,"['one', 'like', 'one']"
2023-03-06 12:12:53+00:00,season 1-4 and a few episodes of season 6 tbh,season 14 episod season 6 tbh,"['season', '14', 'episod', 'season', '6', 'tbh']"
2023-03-06 12:07:36+00:00,Imo saison 3 et surtout 4 je peux les revoir tout les mois ça me fait plaisir,imo saison 3 et surtout 4 je peux le revoir tout le moi ça fait plaisir,"['imo', 'saison', '3', 'et', 'surtout', '4', 'je', 'peux', 'le', 'revoir', 'tout', 'le', 'moi', 'ça', 'fait', 'plaisir']"
2023-03-06 11:59:30+00:00,Saison 4,saison 4,"['saison', '4']"
2023-03-06 11:51:12+00:00,Season 4 and maybe 6 🤔,season 4 mayb 6,"['season', '4', 'mayb', '6']"
